Результаты табулирования по схеме Горнера
Многочлен: 2.0*x^0 + 4.0*x^1
Интервал от 1 до 10 с шагом 0.1



F(1) = 6 или 6, с разницей 0
F(1.1) = 6.4 или 6.4, с разницей 0
F(1.2) = 6.8 или 6.8, с разницей 0
F(1.3) = 7.2 или 7.2, с разницей 0
F(1.4) = 7.6 или 7.6, с разницей 0
F(1.5) = 8 или 8, с разницей 0
F(1.6) = 8.4 или 8.4, с разницей 0
F(1.7) = 8.8 или 8.8, с разницей 0
F(1.8) = 9.2 или 9.2, с разницей 0
F(1.9) = 9.6 или 9.6, с разницей 0
F(2) = 10 или 10, с разницей 0
F(2.1) = 10.4 или 10.4, с разницей 0
F(2.2) = 10.8 или 10.8, с разницей 0
F(2.3) = 11.2 или 11.2, с разницей 0
F(2.4) = 11.6 или 11.6, с разницей 0
F(2.5) = 12 или 12, с разницей 0
F(2.6) = 12.4 или 12.4, с разницей 0
F(2.7) = 12.8 или 12.8, с разницей 0
F(2.8) = 13.2 или 13.2, с разницей 0
F(2.9) = 13.6 или 13.6, с разницей 0
F(3) = 14 или 14, с разницей 0
F(3.1) = 14.4 или 14.4, с разницей 0
F(3.2) = 14.8 или 14.8, с разницей 0
F(3.3) = 15.2 или 15.2, с разницей 0
F(3.4) = 15.6 или 15.6, с разницей 0
F(3.5) = 16 или 16, с разницей 0
F(3.6) = 16.4 или 16.4, с разницей 0
F(3.7) = 16.8 или 16.8, с разницей 0
F(3.8) = 17.2 или 17.2, с разницей 0
F(3.9) = 17.6 или 17.6, с разницей 0
F(4) = 18 или 18, с разницей 0
F(4.1) = 18.4 или 18.4, с разницей 0
F(4.2) = 18.8 или 18.8, с разницей 0
F(4.3) = 19.2 или 19.2, с разницей 0
F(4.4) = 19.6 или 19.6, с разницей 0
F(4.5) = 20 или 20, с разницей 0
F(4.6) = 20.4 или 20.4, с разницей 0
F(4.7) = 20.8 или 20.8, с разницей 0
F(4.8) = 21.2 или 21.2, с разницей 0
F(4.9) = 21.6 или 21.6, с разницей 0
F(5) = 22 или 22, с разницей 0
F(5.1) = 22.4 или 22.4, с разницей 0
F(5.2) = 22.8 или 22.8, с разницей 0
F(5.3) = 23.2 или 23.2, с разницей 0
F(5.4) = 23.6 или 23.6, с разницей 0
F(5.5) = 24 или 24, с разницей 0
F(5.6) = 24.4 или 24.4, с разницей 0
F(5.7) = 24.8 или 24.8, с разницей 0
F(5.8) = 25.2 или 25.2, с разницей 0
F(5.9) = 25.6 или 25.6, с разницей 0
F(6) = 26 или 26, с разницей 0
F(6.1) = 26.4 или 26.4, с разницей 0
F(6.2) = 26.8 или 26.8, с разницей 0
F(6.3) = 27.2 или 27.2, с разницей 0
F(6.4) = 27.6 или 27.6, с разницей 0
F(6.5) = 28 или 28, с разницей 0
F(6.6) = 28.4 или 28.4, с разницей 0
F(6.7) = 28.8 или 28.8, с разницей 0
F(6.8) = 29.2 или 29.2, с разницей 0
F(6.9) = 29.6 или 29.6, с разницей 0
F(7) = 30 или 30, с разницей 0
F(7.1) = 30.4 или 30.4, с разницей 0
F(7.2) = 30.8 или 30.8, с разницей 0
F(7.3) = 31.2 или 31.2, с разницей 0
F(7.4) = 31.6 или 31.6, с разницей 0
F(7.5) = 32 или 32, с разницей 0
F(7.6) = 32.4 или 32.4, с разницей 0
F(7.7) = 32.8 или 32.8, с разницей 0
F(7.8) = 33.2 или 33.2, с разницей 0
F(7.9) = 33.6 или 33.6, с разницей 0
F(8) = 34 или 34, с разницей 0
F(8.1) = 34.4 или 34.4, с разницей 0
F(8.2) = 34.8 или 34.8, с разницей 0
F(8.3) = 35.2 или 35.2, с разницей 0
F(8.4) = 35.6 или 35.6, с разницей 0
F(8.5) = 36 или 36, с разницей 0
F(8.6) = 36.4 или 36.4, с разницей 0
F(8.7) = 36.8 или 36.8, с разницей 0
F(8.8) = 37.2 или 37.2, с разницей 0
F(8.9) = 37.6 или 37.6, с разницей 0
F(9) = 38 или 38, с разницей 0
F(9.1) = 38.4 или 38.4, с разницей 0
F(9.2) = 38.8 или 38.8, с разницей 0
F(9.3) = 39.2 или 39.2, с разницей 0
F(9.4) = 39.6 или 39.6, с разницей 0
F(9.5) = 40 или 40, с разницей 0
F(9.6) = 40.4 или 40.4, с разницей 0
F(9.7) = 40.8 или 40.8, с разницей 0
F(9.8) = 41.2 или 41.2, с разницей 0
F(9.9) = 41.6 или 41.6, с разницей 0
F(10) = 42 или 42, с разницей 0
